"","FC1","FNC9","FNC12","FC11","FNC7","FNC1","FC6","FC2","FNC10","FNC8","FC4","FC12","FC7","FC10","FNC3","FC3","FNC6","FC5","FNC11","FC9","FNC5","FNC2","FNC4","FC8","taxonomy"
"465",6,3,2,4,4,2,1,4,0,2,0,0,10,0,9,0,5,3,0,0,0,6,4,9,"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);"
"466",6,8,4,0,9,4,6,8,9,8,2,6,0,0,4,0,9,2,8,10,6,0,11,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;"
"467",6,0,7,0,7,4,4,9,0,5,1,0,0,4,5,1,0,0,1,2,0,0,2,1,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Porphyrobacter;"
"468",6,3,3,0,2,1,1,2,0,0,0,2,0,7,0,3,0,0,3,2,0,0,2,4,"k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__C0119;f__C0119OR;g__C0119OR;"
"469",6,45,114,1,80,115,4,12,38,28,14,3,26,12,39,13,15,3,25,10,14,22,61,2,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Flavisolibacter;"
"470",6,0,0,2,2,0,0,9,0,1,0,0,21,4,2,0,0,1,0,3,2,0,0,7,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Terrimonas;"
"471",6,7,0,2,0,2,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;"
"472",6,30,33,0,55,8,4,29,13,16,4,18,8,0,54,5,0,0,5,5,11,8,10,14,"k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;"
"473",6,16,0,4,13,0,1,5,46,24,0,0,14,0,8,2,28,0,53,0,10,4,30,25,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Paludibacter;"
"474",6,56,32,3,7,17,4,5,6,69,0,0,2,6,45,3,21,1,6,0,15,42,16,3,"k__Bacteria;p__Acidobacteria;c__Subgroup 6;o__Subgroup 6CL;f__Subgroup 6CL;g__Subgroup 6CL;"
"475",6,4,4,1,0,0,0,7,0,0,2,5,6,2,1,0,2,0,1,2,3,0,11,11,"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__mle1-27;g__mle1-27FA;"
"476",6,0,0,8,2,0,3,4,1,5,2,2,5,0,1,0,2,0,0,1,1,2,0,6,"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__Candidatus Koribacter;"
"477",6,4,4,10,0,0,2,3,0,3,0,4,3,6,7,2,0,1,1,9,7,0,2,6,"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__uncultured-Acidobacteriaceae (Subgroup 1);"
"478",6,6,2,2,2,0,0,22,2,5,0,5,2,39,11,4,3,5,4,2,2,1,12,10,"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__uncultured-Acidobacteriaceae (Subgroup 1);"
"479",6,2,3,9,3,0,2,1,12,0,2,3,7,8,5,0,9,0,3,0,7,0,4,8,"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae (Subgroup 3);g__Paludibaculum;"
"480",6,7,6,0,1,2,2,0,1,3,1,0,0,1,1,0,0,1,0,0,0,1,0,0,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Segetibacter;"
"481",6,8,1,2,18,3,0,15,16,2,7,5,2,4,5,15,4,8,6,6,5,0,16,9,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;"
"482",6,8,0,1,5,2,0,8,0,0,0,0,3,4,0,0,2,3,2,2,5,6,6,4,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;"
"483",6,13,4,2,17,3,2,22,11,6,14,1,32,19,4,32,3,10,16,25,7,3,9,7,"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea;"
"484",6,4,1,1,0,1,0,1,2,4,0,4,0,1,1,0,2,5,1,0,1,2,0,0,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae 1;g__Clostridium sensu stricto 12;"
"485",6,31,7,8,9,28,0,48,27,30,0,6,16,16,49,7,11,6,18,8,6,12,12,21,"k__Bacteria;p__Chloroflexi;c__SBR2076;o__SBR2076CL;f__SBR2076CL;g__SBR2076CL;"
"486",5,0,0,0,0,2,0,7,0,2,0,1,2,6,5,0,4,0,0,2,6,0,14,10,"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__Candidatus Koribacter;"
"487",5,0,3,2,10,0,4,8,4,4,4,5,0,4,8,3,1,10,0,8,0,4,4,0,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Acidothermaceae;g__Acidothermus;"
"488",5,2,29,0,15,2,6,13,3,2,18,0,0,4,9,31,0,15,0,7,0,0,0,4,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;"
"489",5,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,6,1,3,0,0,0,0,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84;f__SC-I-84OR;g__SC-I-84OR;"
"490",5,3,0,0,0,0,0,9,5,0,1,0,0,4,0,0,2,0,1,2,0,0,7,0,"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea;"
"491",5,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;"
"492",5,10,1,0,0,0,0,6,5,2,2,2,0,2,0,4,1,3,3,1,0,0,2,1,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadales Incertae Sedis;g__uncultured-Xanthomonadales Incertae Sedis;"
"493",5,0,0,1,5,3,2,0,0,1,3,3,4,5,0,2,3,1,1,8,0,1,8,12,"k__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae (Subgroup 4);g__Blastocatellaceae (Subgroup 4)FA;"
"494",5,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,62,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae;g__Methylotenera;"
"495",5,13,0,11,14,0,0,15,6,0,3,0,3,0,0,4,2,6,0,3,2,3,3,9,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosospira;"
"496",5,0,0,0,0,0,0,3,30,3,0,0,0,0,20,0,0,0,0,0,0,0,2,1,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylobacter;"
"497",5,25,47,3,59,13,2,73,84,55,67,10,34,12,48,15,64,82,84,66,92,35,129,16,"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__uncultured-Acidobacteriaceae (Subgroup 1);"
"498",5,20,1,11,8,0,4,13,0,23,0,1,7,12,5,0,2,4,5,3,0,5,11,9,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae;g__uncultured-Geodermatophilaceae;"
"499",5,7,0,3,0,0,0,0,2,0,0,2,0,3,0,0,5,1,0,4,3,0,3,0,"k__Bacteria;p__Bacteroidetes;c__Bacteroidetes BD2-2;o__Bacteroidetes BD2-2CL;f__Bacteroidetes BD2-2CL;g__Bacteroidetes BD2-2CL;"
"500",5,2,0,1,2,3,0,4,3,1,3,3,4,8,5,9,1,15,0,0,0,0,4,0,"k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__MB-A2-108CL;f__MB-A2-108CL;g__MB-A2-108CL;"
"501",5,0,1,0,2,0,0,5,0,0,3,0,1,0,0,0,0,3,0,4,4,0,0,0,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__uncultured-Chitinophagaceae;"
"502",5,10,0,1,5,0,1,2,1,0,27,3,0,3,0,59,0,49,0,24,0,3,1,0,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Saprospiraceae;g__Phaeodactylibacter;"
"503",5,5,4,2,0,0,1,22,1,3,5,0,10,8,9,0,4,3,3,1,0,20,7,0,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__env.OPS 17;g__env.OPS 17FA;"
"504",5,1,0,0,5,3,0,0,2,8,2,0,0,16,13,8,1,0,2,0,0,0,5,5,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;"
"505",5,10,14,9,8,17,1,61,18,36,10,1,32,18,31,40,1,1,27,32,19,10,27,4,"k__Bacteria;p__Chlorobi;c__Chlorobia;o__Chlorobiales;f__OPB56;g__OPB56FA;"
"506",5,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;"
"507",5,1,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,2,0,0,2,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__BSV13;"
"508",5,0,0,1,0,0,3,2,12,0,1,28,0,3,0,0,0,9,0,0,0,0,0,18,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ralstonia;"
"509",5,8,0,2,0,3,1,0,5,8,0,1,2,4,2,0,4,0,0,0,3,15,2,0,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__BSV13;"
"510",5,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,5,0,0,0,0,0,2,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__uncultured-Nitrosomonadaceae;"
"511",5,1,0,0,4,0,1,0,2,2,4,0,1,1,1,2,0,5,2,2,2,0,1,0,"k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Gemmata;"
"512",5,5,0,0,2,2,2,8,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Oligoflexales;f__053A03-B-DI-P58;g__053A03-B-DI-P58FA;"
"513",5,3,0,1,0,2,4,8,7,1,1,2,8,7,4,0,0,0,0,4,0,8,3,16,"k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;"
"514",5,4,1,2,2,0,0,0,0,0,0,2,0,1,0,1,0,2,0,5,0,1,2,0,"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__CL500-29 marine group;"
"515",5,0,2,0,3,0,0,6,1,0,0,0,4,0,0,0,1,3,0,2,0,1,2,3,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylobacter;"
"516",5,8,0,31,1,6,1,19,5,13,1,0,16,9,0,1,9,1,3,1,13,2,7,10,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Lentimicrobiaceae;g__LentimicrobiaceaeFA;"
"517",5,0,0,0,0,0,1,0,1,2,0,3,2,0,0,0,0,0,4,1,0,0,3,5,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Rhodovastum;"
"518",5,2,0,4,3,0,0,5,0,8,1,0,0,18,14,0,1,7,0,0,1,0,0,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;"
"519",5,3,0,0,27,2,0,11,0,1,9,3,0,0,0,18,0,20,9,4,2,0,0,1,"k__Bacteria;p__Acidobacteria;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae (Subgroup 4);g__Stenotrophobacter;"
"520",5,27,15,9,32,4,2,20,14,15,19,18,0,18,20,30,0,21,19,12,13,12,21,24,"k__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96CL;f__KD4-96CL;g__KD4-96CL;"
"521",5,0,0,3,3,0,0,0,0,0,0,2,2,3,0,2,1,0,0,0,0,0,0,3,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Roseiarcaceae;g__Roseiarcus;"
"522",5,142,85,2,306,132,1,50,23,448,31,2,20,91,159,38,385,0,55,210,161,143,513,3,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__env.OPS 17;g__env.OPS 17FA;"
"523",5,4,9,28,1,3,1,6,12,3,0,0,7,9,4,0,16,0,3,0,5,2,19,11,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__BSV13;"
"524",5,1,0,1,0,2,1,0,7,5,4,6,1,0,3,1,0,2,7,0,0,1,3,10,"k__Bacteria;p__Verrucomicrobia;c__OPB35 soil group;o__OPB35 soil groupCL;f__OPB35 soil groupCL;g__OPB35 soil groupCL;"
"525",5,3,0,2,0,0,0,0,0,7,0,0,0,7,1,0,4,0,0,0,0,2,3,0,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__PeM15;f__PeM15OR;g__PeM15OR;"
"526",5,0,14,4,9,0,3,20,21,0,21,18,0,0,17,13,0,26,0,8,0,0,0,8,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales Incertae Sedis;g__Rhizomicrobium;"
"527",5,9,6,0,0,10,0,2,0,10,0,3,2,0,8,0,0,0,3,0,3,3,1,2,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Rhodopseudomonas;"
"528",5,2,2,2,14,11,0,15,16,4,9,7,15,9,19,6,16,14,11,14,12,9,15,11,"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__uncultured-Acidobacteriaceae (Subgroup 1);"
"529",5,5,2,0,8,0,0,0,2,0,6,2,0,5,6,5,0,2,1,5,2,2,0,3,"k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces;"
"530",5,5,56,5,0,0,8,73,8,8,41,10,31,15,7,24,0,28,25,13,3,9,18,3,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Flavisolibacter;"
"531",5,21,9,3,12,0,2,27,10,13,3,13,11,2,3,0,9,5,3,0,22,1,22,9,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__DA111;g__DA111FA;"
"532",5,0,2,1,2,0,0,12,0,2,0,4,2,4,7,0,2,0,0,1,4,0,2,3,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__MNG7;g__MNG7FA;"
"533",5,11,3,3,0,3,0,0,5,11,0,0,0,3,4,0,4,0,2,0,4,5,5,10,"k__Bacteria;p__Chloroflexi;c__SJA-15;o__SJA-15CL;f__SJA-15CL;g__SJA-15CL;"
"534",5,18,9,3,2,4,1,11,6,11,0,4,9,11,0,8,6,0,1,8,7,6,3,4,"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;"
"535",5,10,20,4,15,2,6,23,0,0,8,20,0,0,38,1,0,6,0,0,0,23,0,27,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__uncultured-Nitrosomonadaceae;"
"536",5,7,0,2,0,3,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,2,"k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Chthoniobacterales;f__FukuN18 freshwater group;g__FukuN18 freshwater groupFA;"
"537",5,5,0,0,6,0,7,4,3,6,10,8,2,4,2,17,0,31,2,11,1,0,2,13,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;"
"538",5,5,2,0,5,0,0,0,5,5,0,0,1,3,8,9,0,5,0,10,0,0,7,14,"k__Bacteria;p__Acidobacteria;c__Subgroup 6;o__Subgroup 6CL;f__Subgroup 6CL;g__Subgroup 6CL;"
"539",5,0,0,3,0,0,0,0,0,0,0,6,0,0,0,5,0,6,0,1,1,0,1,0,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__Flavisolibacter;"
"540",5,8,3,2,11,3,3,5,5,7,6,0,0,0,7,0,3,15,2,3,2,3,5,3,"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ferrithrix;"
"541",5,0,2,0,0,0,5,0,0,0,0,0,4,6,4,0,0,2,1,0,0,0,4,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Rhodoblastus;"
"542",5,24,59,2,111,0,2,94,70,11,9,5,19,4,36,11,20,34,10,2,3,28,2,0,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Dyella;"
"543",5,3,1,0,4,5,0,3,4,12,0,2,1,0,3,0,0,0,0,0,0,6,0,1,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__env.OPS 17;g__env.OPS 17FA;"
"544",5,6,19,0,37,51,5,30,2,5,2,0,7,4,0,4,0,0,7,9,3,6,2,0,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Arcticibacter;"
"545",5,8,7,0,11,6,1,10,4,16,0,2,6,0,3,0,4,0,3,2,0,0,6,6,"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__uncultured-Acidobacteriaceae (Subgroup 1);"
"546",5,16,7,7,40,0,5,29,35,15,45,15,3,22,20,91,5,43,15,45,0,7,16,18,"k__Bacteria;p__Acidobacteria;c__Subgroup 6;o__Subgroup 6CL;f__Subgroup 6CL;g__Subgroup 6CL;"
"547",5,5,1,1,0,0,1,3,0,3,0,0,2,2,0,1,0,2,1,1,0,4,3,3,"k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;"
"548",5,3,0,6,0,0,1,0,3,0,0,0,1,5,1,0,4,0,0,3,2,7,0,3,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;"
"549",5,1,0,0,0,0,0,0,0,4,0,0,6,0,0,0,2,0,0,0,4,0,0,0,"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Ammoniphilus;"
"550",5,7,0,2,0,0,1,0,0,2,1,4,0,2,0,16,0,9,0,0,1,2,0,4,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;g__uncultured-Chitinophagaceae;"
"551",5,0,2,0,2,1,0,4,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae 1;g__Clostridium sensu stricto 10;"
"552",5,6,0,0,0,5,0,6,1,0,0,0,4,0,4,3,0,1,1,0,0,0,0,0,"k__Bacteria;p__Acidobacteria;c__Holophagae;o__Subgroup 7;f__Subgroup 7OR;g__Subgroup 7OR;"
"553",5,6,10,0,7,20,2,38,3,7,3,1,0,8,8,5,2,5,6,11,0,20,2,0,"k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Adhaeribacter;"
"554",5,2,1,0,1,0,0,0,0,14,0,0,0,3,0,1,0,2,1,0,3,0,3,9,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__uncultured-Caulobacteraceae;"
"555",5,0,0,1,0,0,0,2,2,0,2,0,3,0,1,0,0,6,0,5,0,2,0,0,"k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces;"
"556",5,4,0,0,0,0,0,4,1,2,0,6,3,1,1,0,0,1,3,0,2,0,0,5,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__AKYH767;g__AKYH767FA;"
"557",5,4,2,4,2,0,2,7,2,1,0,0,0,4,3,2,0,1,2,0,2,1,1,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Microvirga;"
"558",5,0,0,0,3,0,1,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Dokdonella;"
"559",5,3,14,3,5,0,0,8,4,17,4,1,5,6,2,5,0,0,2,1,0,2,2,4,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;"
"560",5,0,0,0,2,0,0,5,0,4,4,0,0,3,1,1,2,0,3,3,8,2,7,0,"k__Bacteria;p__Acidobacteria;c__Holophagae;o__Subgroup 7;f__Subgroup 7OR;g__Subgroup 7OR;"
"561",5,9,2,0,0,8,6,1,1,19,0,1,0,6,6,1,3,0,0,0,1,2,0,3,"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__uncultured-Coriobacteriaceae;"
"562",5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,5,3,0,0,0,"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter;"
"563",5,6,0,3,5,1,0,0,0,0,0,0,0,4,0,6,1,3,0,0,4,0,0,6,"k__Bacteria;p__Acidobacteria;c__Subgroup 6;o__Subgroup 6CL;f__Subgroup 6CL;g__Subgroup 6CL;"
"564",5,12,19,2,0,7,6,8,4,7,0,6,2,6,25,0,1,0,2,0,1,13,5,9,"k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;"
"565",5,28,29,2,30,16,5,87,36,19,35,13,37,24,32,25,26,74,38,71,40,56,79,10,"k__Bacteria;p__Acidobacteria;c__Subgroup 2;o__Subgroup 2CL;f__Subgroup 2CL;g__Subgroup 2CL;"
"566",5,19,9,4,33,4,15,34,21,36,13,11,9,20,16,7,10,34,39,21,22,22,44,27,"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__uncultured-Acidobacteriaceae (Subgroup 1);"
"567",4,7,7,2,5,0,0,0,10,11,0,5,10,1,15,2,0,6,3,4,3,0,0,4,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;"
"568",4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Dongia;"
"569",4,8,1,5,3,2,2,3,1,0,11,2,5,6,6,15,1,10,0,4,1,1,2,4,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84;f__SC-I-84OR;g__SC-I-84OR;"
"570",4,18,7,0,31,1,0,23,9,11,8,11,11,6,12,0,3,9,13,3,13,9,11,25,"k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__HSB OF53-F07;g__HSB OF53-F07FA;"
"571",4,4,1,0,6,0,0,2,0,3,1,0,0,2,1,2,0,2,1,0,1,1,4,1,"k__Bacteria;p__Firmicutes;c__Clostridia;"
"573",4,0,1,4,0,0,0,0,1,0,1,0,0,3,0,3,0,5,2,0,2,0,0,2,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Pedomicrobium;"
"574",4,7,1,10,0,0,0,6,0,7,1,0,10,4,0,6,8,3,1,0,0,1,4,0,"k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Leptolinea;"
"575",4,6,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Gallionellaceae;g__Candidatus Nitrotoga;"
"576",4,9,3,3,4,2,0,3,2,4,3,0,2,0,0,0,0,1,2,1,5,3,2,3,"k__Bacteria;p__Chloroflexi;c__SJA-15;o__SJA-15CL;f__SJA-15CL;g__SJA-15CL;"
"577",4,0,0,0,4,3,0,1,0,0,1,0,0,0,8,0,0,0,0,0,0,2,0,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylocystaceae;g__Methylosinus;"
"578",4,7,0,1,4,0,2,3,0,5,2,2,1,4,3,3,0,1,2,3,4,2,3,5,"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiales Incertae Sedis;g__Aciditerrimonas;"
"579",4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__070125-BRIC7-5;f__070125-BRIC7-5OR;g__070125-BRIC7-5OR;"
"580",4,0,1,6,7,0,0,0,14,0,2,0,0,0,1,23,0,1,3,0,0,0,4,0,"k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__1959-1;g__1959-1FA;"
"581",4,1,5,0,0,0,0,2,0,3,1,1,0,2,6,0,1,0,0,0,2,1,2,1,"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Archangiaceae;g__Anaeromyxobacter;"
