"","FC1","FNC9","FNC12","FC11","FNC7","FNC1","FC6","FC2","FNC10","FNC8","FC4","FC12","FC7","FC10","FNC3","FC3","FNC6","FC5","FNC11","FC9","FNC5","FNC2","FNC4","FC8","taxonomy"
"3275",0,11,5,0,9,5,2,2,6,3,2,2,13,5,18,1,7,0,7,0,3,12,7,9,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;"
"3276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Shinella;"
"3277",0,0,11,3,0,0,0,19,4,1,9,0,0,0,0,0,8,0,9,0,6,0,14,0,"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__uncultured-Acidobacteriaceae (Subgroup 1);"
"3278",0,5,5,0,1,2,0,2,0,3,0,0,0,0,4,0,0,1,0,3,1,2,11,1,"k__Bacteria;p__Acidobacteria;c__Subgroup 2;o__Subgroup 2CL;f__Subgroup 2CL;g__Subgroup 2CL;"
"3280",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Chitinophagaceae;"
"3281",0,6,0,0,1,0,2,2,0,6,0,1,0,1,0,0,0,6,0,4,0,0,2,0,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84;f__SC-I-84OR;g__SC-I-84OR;"
"3282",0,0,0,0,0,0,0,0,2,0,0,3,0,5,1,0,0,4,3,0,0,1,0,1,"k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;"
"3283",0,1,0,0,2,0,0,9,2,0,20,0,0,0,0,6,0,34,0,49,1,0,0,0,"k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__KD3-93;g__KD3-93FA;"
"3284",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium;"
"3285",0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,4,0,0,5,3,0,0,0,2,"k__Bacteria;p__Armatimonadetes;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__FimbriimonadaceaeFA;"
"3286",0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,5,0,0,3,0,0,"k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;"
"3287",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae (Subgroup 3);g__Candidatus Solibacter;"
"3288",0,1,0,1,1,0,0,10,11,0,2,4,0,0,0,0,2,60,13,4,0,1,0,11,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Uliginosibacterium;"
"3289",0,0,0,0,0,0,0,1,3,0,2,2,0,0,0,0,0,2,0,1,2,0,2,0,"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Sandaracinaceae;g__uncultured-Sandaracinaceae;"
"3290",0,0,0,0,0,0,0,0,28,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,"k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__Opitutales;f__Opitutaceae;g__Opitutus;"
"3291",0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,3,1,2,1,0,0,0,0,0,"k__Bacteria;p__Chloroflexi;c__SBR2076;o__SBR2076CL;f__SBR2076CL;g__SBR2076CL;"
